user_id;wiki_page
CanalKondZilla;KondZilla
luccasneto;Luccas_Neto
UCbCmjCuTUZos6Inko4u57UQ;Cocomelon
portadosfundos;Porta_dos_Fundos
felipeneto;Felipe_Neto
PewDiePie;PewDiePie
judsonlaipply;Judson_Laipply
raywilliamjohnson;Ray_William_Johnson
MoreZoella;Zoe_Sugg
